year,week,week_index,year_week,week_start,season,winter_flag,spring_flag,summer_flag,NO2_mean,NO2_max,NO2_p75,NO2_n_days,PM25_mean,PM25_max,PM25_p75,PM25_n_days,PM10_mean,PM10_max,PM10_p75,PM10_n_days,temp_mean,humidity_mean,respiratory_disease,ILI,pneumonia,sin52,cos52,sin26,cos26,sin1,cos1,sin2,cos2,time_numeric,partial_pollution_week,complete_pollution_week,missing_NO2_days,missing_PM25_days,missing_PM10_days,w52_2025_flag,outlier_flag
2023,18,1,2023-W18,2023-05-03,spring,0,1,0,25.08285714285714,31.43,29.165,7,10.998571428571427,16.0,11.83,7,18.857142857142858,27.5,20.875,7,18.13,70.85,2616,840,300,0.12053668025532305,0.992708874098054,0.23931566428755774,0.970941817426052,0.12053668025532305,0.992708874098054,0.23931566428755774,0.970941817426052,1,0,1,0,0,0,0,0
2023,19,2,2023-W19,2023-05-10,spring,0,1,0,22.997142857142855,30.43,25.384999999999998,7,6.644285714285715,9.67,7.835,7,11.392857142857142,17.25,12.125,7,14.44,81.62,2293,645,240,0.23931566428755774,0.970941817426052,0.4647231720437685,0.8854560256532099,0.23931566428755774,0.970941817426052,0.4647231720437685,0.8854560256532099,2,0,1,0,0,0,0,0
2023,20,3,2023-W20,2023-05-17,spring,0,1,0,28.55,33.59,30.74,7,9.569999999999999,14.33,11.165,7,17.071428571428573,26.0,18.75,7,16.67,78.17,2175,639,220,0.3546048870425356,0.9350162426854148,0.6631226582407952,0.7485107481711011,0.3546048870425356,0.9350162426854148,0.6631226582407952,0.7485107481711011,3,0,1,0,0,0,0,0
2023,21,4,2023-W21,2023-05-24,spring,0,1,0,23.727142857142862,30.91,26.3,7,12.857142857142858,15.0,14.33,7,21.392857142857142,25.0,24.0,7,19.84,73.72,2720,861,238,0.4647231720437685,0.8854560256532099,0.8229838658936564,0.5680647467311559,0.4647231720437685,0.8854560256532099,0.8229838658936564,0.5680647467311559,4,0,1,0,0,0,0,0
2023,22,5,2023-W22,2023-05-31,spring,0,1,0,21.99857142857143,26.62,25.06,7,12.235714285714284,17.0,14.329999999999998,7,18.321428571428573,26.0,22.0,7,19.9,75.58,2549,1015,264,0.5680647467311558,0.8229838658936564,0.9350162426854148,0.35460488704253557,0.5680647467311558,0.8229838658936564,0.9350162426854148,0.35460488704253557,5,0,1,0,0,0,0,0
2023,23,6,2023-W23,2023-06-07,spring,0,1,0,20.770000000000003,25.28,22.895,7,12.26142857142857,16.0,13.5,7,17.69,20.25,19.165,7,21.04,76.49,1999,648,216,0.6631226582407952,0.7485107481711011,0.992708874098054,0.120536680255323,0.6631226582407952,0.7485107481711011,0.992708874098054,0.120536680255323,6,0,1,0,0,0,0,0
2023,24,7,2023-W24,2023-06-14,spring,0,1,0,23.807142857142857,29.24,26.65,7,14.285714285714286,16.0,15.33,7,21.381428571428575,23.25,22.5,7,22.73,66.98,1840,665,199,0.7485107481711011,0.6631226582407953,0.992708874098054,-0.1205366802553229,0.7485107481711011,0.6631226582407953,0.992708874098054,-0.1205366802553229,7,0,1,0,0,0,0,0
2023,25,8,2023-W25,2023-06-21,spring,0,1,0,28.274285714285707,39.43,29.835,7,15.95142857142857,23.33,19.165,7,26.785714285714285,41.0,29.875,7,27.36,46.38,1669,662,176,0.8229838658936564,0.5680647467311559,0.9350162426854149,-0.35460488704253545,0.8229838658936564,0.5680647467311559,0.9350162426854149,-0.35460488704253545,8,0,1,0,0,0,0,0
2023,26,9,2023-W26,2023-06-28,spring,0,1,0,22.8,35.86,23.35,7,13.094285714285714,16.5,16.25,7,21.702857142857145,27.0,24.335,7,23.12,70.43,1707,649,205,0.8854560256532099,0.4647231720437686,0.8229838658936566,-0.5680647467311556,0.8854560256532099,0.4647231720437686,0.8229838658936566,-0.5680647467311556,9,0,1,0,0,0,0,0
2023,27,10,2023-W27,2023-07-05,summer,0,0,1,25.731428571428573,29.26,28.285,7,14.334285714285715,20.67,17.335,7,22.428571428571427,38.0,26.5,7,25.17,67.51,1602,632,165,0.9350162426854148,0.35460488704253557,0.6631226582407952,-0.7485107481711012,0.9350162426854148,0.35460488704253557,0.6631226582407952,-0.7485107481711012,10,0,1,0,0,0,0,0
