year;week;week_start;week_end;NO2_day1;NO2_day2;NO2_day3;NO2_day4;NO2_day5;NO2_day6;NO2_day7;PM25_day1;PM25_day2;PM25_day3;PM25_day4;PM25_day5;PM25_day6;PM25_day7;PM10_day1;PM10_day2;PM10_day3;PM10_day4;PM10_day5;PM10_day6;PM10_day7;respiratory_disease;ILI;pneumonia;temp_mean;humidity_mean;precip_total_mm;wind_speed_mean;pressure_mean
2023;18;2023-05-03;2023-05-09;22.72;27.58;31.43;30.75;16.45;24.57;22.08;6.33;11.33;16.0;12.33;9.33;10.67;11.0;14.5;18.75;27.5;23.0;15.0;16.0;17.25;2616;840;300;18.13;70.85;50.7;7.22;1000.7
2023;19;2023-05-10;2023-05-16;20.43;23.5;26.61;19.89;15.96;24.16;30.43;9.67;5.67;5.5;5.0;5.0;6.0;9.67;12.0;12.0;8.25;10.25;7.75;12.25;17.25;2293;645;240;14.44;81.62;76.0;7.81;994.06
2023;20;2023-05-17;2023-05-23;28.62;28.46;27.03;28.65;20.67;32.83;33.59;6.33;8.0;8.67;7.33;9.33;13.0;14.33;14.0;15.25;15.75;11.75;15.0;21.75;26.0;2175;639;220;16.67;78.17;27.2;8.43;997.53
2023;21;2023-05-24;2023-05-30;30.91;22.43;25.96;22.1;15.95;22.1;26.64;14.33;9.67;13.0;11.67;15.0;12.0;14.33;25.0;16.75;23.5;21.0;20.5;18.5;24.5;2720;861;238;19.84;73.72;33.8;7.91;999.06
2023;22;2023-05-31;2023-06-06;26.62;26.06;18.57;18.47;18.15;22.06;24.06;12.33;16.33;12.33;9.33;10.33;8.0;17.0;20.25;26.0;19.25;12.75;14.25;12.0;23.75;2549;1015;264;19.9;75.58;21.2;6.05;998.39
2023;23;2023-06-07;2023-06-13;23.56;25.28;21.7;16.01;16.47;20.14;22.23;12.0;16.0;15.0;11.33;12.0;9.0;10.5;16.0;19.33;20.25;17.75;17.0;14.5;19.0;1999;648;216;21.04;76.49;24.5;6.6;995.49
2023;24;2023-06-14;2023-06-20;24.47;23.47;28.83;22.0;19.82;18.82;29.24;11.0;16.0;15.33;14.67;14.0;15.33;13.67;17.67;23.0;23.25;22.0;21.25;22.0;20.5;1840;665;199;22.73;66.98;16.0;7.35;997.39
2023;25;2023-06-21;2023-06-27;30.79;39.43;27.49;24.15;18.35;28.88;28.83;15.67;23.33;13.67;12.33;8.33;17.0;21.33;28.0;41.0;26.75;17.75;15.25;27.0;31.75;1669;662;176;27.36;46.38;0.6;9.17;998.83
2023;26;2023-06-28;2023-07-04;23.11;23.59;35.86;20.24;20.31;16.79;19.7;16.0;12.33;16.5;16.5;12.33;10.0;8.0;27.0;21.0;26.0;22.67;18.25;18.67;18.33;1707;649;205;23.12;70.43;45.7;8.05;995.24
2023;27;2023-07-05;2023-07-11;23.69;27.48;29.26;22.46;21.41;29.09;26.73;11.0;11.0;10.0;13.0;14.67;20.0;20.67;15.5;15.5;16.5;18.5;22.5;30.5;38.0;1602;632;165;25.17;67.51;16.6;6.0;1001.03
