model_id,pollutant,outcome,lag,exposure,RR,RR_low,RR_high
M1,NO2,Respiratory,0,42.03,1.003,0.775,1.299
M1,NO2,Respiratory,1,42.03,1.107,0.963,1.272
M1,NO2,Respiratory,2,42.03,1.178,0.972,1.428
M1,NO2,Respiratory,3,42.03,1.184,1.031,1.359
M1,NO2,Respiratory,4,42.03,1.148,0.897,1.47
M2,PM2.5,Respiratory,0,24.07,1.152,0.983,1.35
M2,PM2.5,Respiratory,1,24.07,1.008,0.924,1.098
M2,PM2.5,Respiratory,2,24.07,0.923,0.832,1.024
M2,PM2.5,Respiratory,3,24.07,0.914,0.845,0.988
M2,PM2.5,Respiratory,4,24.07,0.948,0.83,1.081
M3,PM10,Respiratory,0,34.25,1.073,0.985,1.169
M3,PM10,Respiratory,1,34.25,1.005,0.959,1.053
M3,PM10,Respiratory,2,34.25,0.959,0.906,1.016
M3,PM10,Respiratory,3,34.25,0.946,0.905,0.989
M3,PM10,Respiratory,4,34.25,0.951,0.882,1.027
M4,NO2,ILI,0,42.03,0.888,0.6,1.316
M4,NO2,ILI,1,42.03,0.959,0.774,1.188
M4,NO2,ILI,2,42.03,1.018,0.757,1.368
M4,NO2,ILI,3,42.03,1.048,0.846,1.298
M4,NO2,ILI,4,42.03,1.06,0.722,1.555
M5,PM2.5,ILI,0,24.07,1.128,0.883,1.441
M5,PM2.5,ILI,1,24.07,1.007,0.882,1.15
M5,PM2.5,ILI,2,24.07,0.936,0.798,1.097
M5,PM2.5,ILI,3,24.07,0.928,0.823,1.046
M5,PM2.5,ILI,4,24.07,0.957,0.781,1.173
M6,PM10,ILI,0,34.25,1.069,0.939,1.218
M6,PM10,ILI,1,34.25,1.003,0.934,1.076
M6,PM10,ILI,2,34.25,0.956,0.877,1.041
M6,PM10,ILI,3,34.25,0.936,0.876,1.001
M6,PM10,ILI,4,34.25,0.932,0.831,1.046
M7,NO2,Pneumonia,0,42.03,0.828,0.591,1.16
M7,NO2,Pneumonia,1,42.03,0.919,0.762,1.108
M7,NO2,Pneumonia,2,42.03,0.989,0.766,1.277
M7,NO2,Pneumonia,3,42.03,1.013,0.843,1.219
M7,NO2,Pneumonia,4,42.03,1.007,0.727,1.396
M8,PM2.5,Pneumonia,0,24.07,1.039,0.843,1.281
M8,PM2.5,Pneumonia,1,24.07,0.98,0.875,1.097
M8,PM2.5,Pneumonia,2,24.07,0.942,0.821,1.08
M8,PM2.5,Pneumonia,3,24.07,0.935,0.843,1.036
M8,PM2.5,Pneumonia,4,24.07,0.946,0.794,1.127
M9,PM10,Pneumonia,0,34.25,1.042,0.93,1.168
M9,PM10,Pneumonia,1,34.25,1.001,0.941,1.065
M9,PM10,Pneumonia,2,34.25,0.971,0.9,1.048
M9,PM10,Pneumonia,3,34.25,0.958,0.904,1.016
M9,PM10,Pneumonia,4,34.25,0.955,0.863,1.058
