model_id,pollutant,outcome,percentile,exposure,reference,cum_RR,cum_RR_low,cum_RR_high
M1,NO2,Respiratory,p25,22.91,10,1.32,0.862,2.021
M1,NO2,Respiratory,p50,31.14,10,1.56,0.937,2.598
M1,NO2,Respiratory,p75,42.03,10,1.778,1.052,3.006
M1,NO2,Respiratory,p95,54.14,10,1.731,0.985,3.042
M2,PM2.5,Respiratory,p25,11.13,5,1.021,0.798,1.305
M2,PM2.5,Respiratory,p50,14.58,5,1.009,0.742,1.373
M2,PM2.5,Respiratory,p75,24.07,5,0.928,0.677,1.272
M2,PM2.5,Respiratory,p95,41.29,5,0.809,0.574,1.14
M3,PM10,Respiratory,p25,19.39,15,1.053,0.943,1.176
M3,PM10,Respiratory,p50,24.41,15,1.046,0.889,1.232
M3,PM10,Respiratory,p75,34.25,15,0.931,0.777,1.116
M3,PM10,Respiratory,p95,52.93,15,0.817,0.65,1.028
M4,NO2,ILI,p25,22.91,10,0.823,0.428,1.584
M4,NO2,ILI,p50,31.14,10,0.856,0.39,1.879
M4,NO2,ILI,p75,42.03,10,0.963,0.427,2.17
M4,NO2,ILI,p95,54.14,10,0.95,0.397,2.272
M5,PM2.5,ILI,p25,11.13,5,1.108,0.76,1.615
M5,PM2.5,ILI,p50,14.58,5,1.104,0.688,1.771
M5,PM2.5,ILI,p75,24.07,5,0.944,0.58,1.536
M5,PM2.5,ILI,p95,41.29,5,0.753,0.443,1.28
M6,PM10,ILI,p25,19.39,15,1.132,0.959,1.336
M6,PM10,ILI,p50,24.41,15,1.128,0.882,1.443
M6,PM10,ILI,p75,34.25,15,0.894,0.679,1.177
M6,PM10,ILI,p95,52.93,15,0.709,0.5,1.005
M7,NO2,Pneumonia,p25,22.91,10,0.701,0.397,1.237
M7,NO2,Pneumonia,p50,31.14,10,0.706,0.356,1.399
M7,NO2,Pneumonia,p75,42.03,10,0.768,0.378,1.56
M7,NO2,Pneumonia,p95,54.14,10,0.659,0.308,1.41
M8,PM2.5,Pneumonia,p25,11.13,5,0.939,0.68,1.297
M8,PM2.5,Pneumonia,p50,14.58,5,0.912,0.608,1.368
M8,PM2.5,Pneumonia,p75,24.07,5,0.848,0.559,1.286
M8,PM2.5,Pneumonia,p95,41.29,5,0.691,0.439,1.089
M9,PM10,Pneumonia,p25,19.39,15,1.038,0.897,1.202
M9,PM10,Pneumonia,p50,24.41,15,1.03,0.829,1.279
M9,PM10,Pneumonia,p75,34.25,15,0.927,0.729,1.179
M9,PM10,Pneumonia,p95,52.93,15,0.773,0.57,1.048
