pollutant,pc,lag,wmarm_like_se
NO2,0.5,0,1.2999
NO2,0.5,1,2.557
NO2,0.5,2,2.0444
NO2,0.6,0,-0.92
NO2,0.6,1,-0.0787
NO2,0.6,2,0.0713
NO2,0.7,0,-0.3344
NO2,0.7,1,1.0961
NO2,0.7,2,1.3355
NO2,0.75,0,0.2137
NO2,0.75,1,2.774
NO2,0.75,2,1.1912
NO2,0.8,0,0.3258
NO2,0.8,1,2.1388
NO2,0.8,2,0.7006
NO2,0.9,0,-0.1264
NO2,0.9,1,1.5415
NO2,0.9,2,-0.3425
PM2.5,0.5,0,0.9979
PM2.5,0.5,1,0.5609
PM2.5,0.5,2,0.823
PM2.5,0.6,0,0.5963
PM2.5,0.6,1,0.7392
PM2.5,0.6,2,-0.4879
PM2.5,0.7,0,0.5833
PM2.5,0.7,1,1.3925
PM2.5,0.7,2,0.6558
PM2.5,0.75,0,1.1327
PM2.5,0.75,1,0.3431
PM2.5,0.75,2,-0.4881
PM2.5,0.8,0,1.1996
PM2.5,0.8,1,0.7038
PM2.5,0.8,2,-0.4067
PM2.5,0.9,0,3.5647
PM2.5,0.9,1,1.3632
PM2.5,0.9,2,-0.7842
PM10,0.5,0,0.2463
PM10,0.5,1,0.4606
PM10,0.5,2,-0.4732
PM10,0.6,0,-0.0802
PM10,0.6,1,0.9965
PM10,0.6,2,-0.4464
PM10,0.7,0,0.6545
PM10,0.7,1,0.6997
PM10,0.7,2,-0.4333
PM10,0.75,0,1.0532
PM10,0.75,1,0.3327
PM10,0.75,2,-0.5823
PM10,0.8,0,1.4203
PM10,0.8,1,0.7717
PM10,0.8,2,-0.5822
PM10,0.9,0,1.7253
PM10,0.9,1,1.2383
PM10,0.9,2,-0.7577
