pollutant,outcome,lag,week_index,year_week,note
NO2,respiratory_disease,0,30,2023-W47,baseline expanded to +/-4
NO2,respiratory_disease,0,31,2023-W48,baseline expanded to +/-5
NO2,respiratory_disease,0,32,2023-W49,baseline expanded to +/-5
NO2,respiratory_disease,0,33,2023-W50,no baseline available even at +/-5
NO2,respiratory_disease,0,34,2023-W51,no baseline available even at +/-5
NO2,respiratory_disease,0,35,2023-W52,no baseline available even at +/-5
NO2,respiratory_disease,0,36,2024-W01,no baseline available even at +/-5
NO2,respiratory_disease,0,37,2024-W02,no baseline available even at +/-5
NO2,respiratory_disease,0,38,2024-W03,baseline expanded to +/-5
NO2,respiratory_disease,0,39,2024-W04,baseline expanded to +/-4
NO2,respiratory_disease,0,40,2024-W05,baseline expanded to +/-4
NO2,respiratory_disease,0,82,2024-W47,baseline expanded to +/-4
NO2,respiratory_disease,0,83,2024-W48,baseline expanded to +/-4
NO2,respiratory_disease,0,84,2024-W49,baseline expanded to +/-4
NO2,respiratory_disease,0,86,2024-W51,baseline expanded to +/-4
NO2,respiratory_disease,0,87,2024-W52,baseline expanded to +/-4
NO2,respiratory_disease,0,88,2025-W01,baseline expanded to +/-5
NO2,respiratory_disease,0,133,2025-W46,baseline expanded to +/-5
NO2,respiratory_disease,0,134,2025-W47,baseline expanded to +/-4
NO2,respiratory_disease,0,137,2025-W50,baseline expanded to +/-4
NO2,respiratory_disease,0,138,2025-W51,no baseline available even at +/-5
NO2,respiratory_disease,0,139,2025-W52,baseline expanded to +/-5
NO2,respiratory_disease,0,140,2026-W01,baseline expanded to +/-4
NO2,respiratory_disease,1,30,2023-W47,baseline expanded to +/-4
NO2,respiratory_disease,1,31,2023-W48,baseline expanded to +/-5
NO2,respiratory_disease,1,32,2023-W49,baseline expanded to +/-5
NO2,respiratory_disease,1,33,2023-W50,no baseline available even at +/-5
NO2,respiratory_disease,1,34,2023-W51,no baseline available even at +/-5
NO2,respiratory_disease,1,35,2023-W52,no baseline available even at +/-5
NO2,respiratory_disease,1,36,2024-W01,no baseline available even at +/-5
NO2,respiratory_disease,1,37,2024-W02,no baseline available even at +/-5
NO2,respiratory_disease,1,38,2024-W03,baseline expanded to +/-5
NO2,respiratory_disease,1,39,2024-W04,baseline expanded to +/-4
NO2,respiratory_disease,1,40,2024-W05,baseline expanded to +/-4
NO2,respiratory_disease,1,82,2024-W47,baseline expanded to +/-4
NO2,respiratory_disease,1,83,2024-W48,baseline expanded to +/-4
NO2,respiratory_disease,1,84,2024-W49,baseline expanded to +/-4
NO2,respiratory_disease,1,86,2024-W51,baseline expanded to +/-4
NO2,respiratory_disease,1,87,2024-W52,baseline expanded to +/-4
NO2,respiratory_disease,1,88,2025-W01,baseline expanded to +/-5
NO2,respiratory_disease,1,133,2025-W46,baseline expanded to +/-5
NO2,respiratory_disease,1,134,2025-W47,baseline expanded to +/-4
NO2,respiratory_disease,1,137,2025-W50,baseline expanded to +/-4
NO2,respiratory_disease,1,138,2025-W51,no baseline available even at +/-5
NO2,respiratory_disease,1,139,2025-W52,baseline expanded to +/-5
NO2,respiratory_disease,1,140,2026-W01,baseline expanded to +/-4
NO2,respiratory_disease,2,30,2023-W47,baseline expanded to +/-4
NO2,respiratory_disease,2,31,2023-W48,baseline expanded to +/-5
NO2,respiratory_disease,2,32,2023-W49,baseline expanded to +/-5
NO2,respiratory_disease,2,33,2023-W50,no baseline available even at +/-5
NO2,respiratory_disease,2,34,2023-W51,no baseline available even at +/-5
NO2,respiratory_disease,2,35,2023-W52,no baseline available even at +/-5
NO2,respiratory_disease,2,36,2024-W01,no baseline available even at +/-5
NO2,respiratory_disease,2,37,2024-W02,no baseline available even at +/-5
NO2,respiratory_disease,2,38,2024-W03,baseline expanded to +/-5
NO2,respiratory_disease,2,39,2024-W04,baseline expanded to +/-4
