pollutant,outcome,lag,n_years,mean_Vul,mean_sd_r,mean_se_signed,mean_abs_se,mean_weightCI,citylevel_se_weighted
NO2,ILI,0,4,0.527,0.1508,0.4792,2.0267,2.1563,0.8021
NO2,ILI,1,4,0.638,0.1069,2.2833,3.7902,3.4315,3.366
NO2,ILI,2,4,0.548,0.1011,0.2577,3.2473,3.2723,-0.2305
NO2,pneumonia,0,4,0.6434,0.1513,1.0107,2.399,2.3888,1.1122
NO2,pneumonia,1,4,0.6074,0.1243,3.0547,3.7369,3.4577,6.741
NO2,pneumonia,2,4,0.5493,0.1227,0.7454,2.108,2.5734,1.1599
NO2,respiratory_disease,0,4,0.4957,0.1189,0.1482,2.6047,2.6296,0.2796
NO2,respiratory_disease,1,4,0.6626,0.1044,2.964,4.2015,3.7756,4.4838
NO2,respiratory_disease,2,4,0.5797,0.1118,1.2441,3.0437,3.1162,1.5048
PM10,ILI,0,4,0.6919,0.1369,1.6094,1.7938,2.0755,2.1639
PM10,ILI,1,4,0.5105,0.1447,0.0724,1.554,1.9778,-0.2155
PM10,ILI,2,4,0.4908,0.1514,-0.2404,1.2474,1.5669,-0.4328
PM10,pneumonia,0,4,0.669,0.1353,1.6252,2.0235,2.2694,2.342
PM10,pneumonia,1,4,0.6905,0.1369,1.5419,1.8559,2.2319,1.9127
PM10,pneumonia,2,4,0.5223,0.1555,0.0449,0.6359,1.53,-0.0379
PM10,respiratory_disease,0,4,0.5854,0.141,1.0514,1.8978,2.11,1.7998
PM10,respiratory_disease,1,4,0.5448,0.1518,0.3806,1.3374,1.7109,0.4435
PM10,respiratory_disease,2,4,0.4239,0.1543,-0.6348,1.1263,1.6348,-0.7958
PM2.5,ILI,0,4,0.6919,0.1357,1.6399,1.9438,2.087,2.3
PM2.5,ILI,1,4,0.5316,0.1491,0.2379,1.5995,2.0493,0.1218
PM2.5,ILI,2,4,0.4869,0.153,-0.2243,1.3922,1.6672,-0.3465
PM2.5,pneumonia,0,4,0.7147,0.1421,1.7553,1.7553,2.1513,2.1877
PM2.5,pneumonia,1,4,0.6794,0.1305,1.8442,2.8554,2.6248,2.5186
PM2.5,pneumonia,2,4,0.5013,0.1641,-0.0807,0.7414,1.5408,-0.2084
PM2.5,respiratory_disease,0,4,0.6078,0.1474,1.1333,1.6828,2.0733,1.8242
PM2.5,respiratory_disease,1,4,0.5478,0.1564,0.3637,1.4996,1.7863,0.4831
PM2.5,respiratory_disease,2,4,0.435,0.1578,-0.4962,1.1674,1.5947,-0.6143
