pollutant,outcome,year,lag,week_index,year_week,exposed,inc_lag,baseline_inc,delta_inc,baseline_window,n_neighbors
NO2,respiratory_disease,2023,0,1,2023-W18,0,0.0018592169114825122,0.0016296576368613916,0.0002295592746211206,3,3
NO2,respiratory_disease,2023,0,2,2023-W19,0,0.0016296576368613916,0.001835408132226142,-0.0002057504953647505,3,4
NO2,respiratory_disease,2023,0,3,2023-W20,0,0.001545793877092685,0.001811599352969772,-0.0002658054758770869,3,5
NO2,respiratory_disease,2023,0,4,2023-W21,0,0.0019331307336515418,0.0015877257569770382,0.00034540497667450354,3,6
NO2,respiratory_disease,2023,0,5,2023-W22,0,0.001811599352969772,0.0014832514121804292,0.0003283479407893428,3,6
NO2,respiratory_disease,2023,0,6,2023-W23,0,0.0014207089472681735,0.0014267499808108346,-6.041033542661086e-06,3,6
NO2,respiratory_disease,2023,0,7,2023-W24,0,0.0013077060845289841,0.0013169453123001128,-9.239227771128643e-06,3,6
NO2,respiratory_disease,2023,0,8,2023-W25,0,0.0011861747038472144,0.0012604438809305182,-7.426917708330382e-05,3,6
NO2,respiratory_disease,2023,0,9,2023-W26,0,0.0012131816773320522,0.0011687623130477796,4.441936428427264e-05,3,6
NO2,respiratory_disease,2023,0,10,2023-W27,0,0.0011385571453344742,0.0011687623130477796,-3.020516771330543e-05,3,6
NO2,respiratory_disease,2023,0,11,2023-W28,0,0.0011513499222483448,0.0011229215291064104,2.842839314193442e-05,3,6
NO2,respiratory_disease,2023,0,12,2023-W29,0,0.0011023109440785079,0.0011229215291064104,-2.061058502790254e-05,3,6
NO2,respiratory_disease,2023,0,13,2023-W30,0,0.0011072859128783464,0.0010824110688791538,2.4874843999192616e-05,3,6
NO2,respiratory_disease,2023,0,14,2023-W31,0,0.0010326613808807684,0.0011047984284784272,-7.213704759765878e-05,3,6
NO2,respiratory_disease,2023,0,15,2023-W32,0,0.0009573261390546422,0.0011047984284784272,-0.0001474722894237849,3,6
NO2,respiratory_disease,2023,0,16,2023-W33,0,0.0010625111936797996,0.0011307393372204423,-6.822814354064274e-05,3,6
NO2,respiratory_disease,2023,0,17,2023-W34,0,0.0011939925119612465,0.001108351977621169,8.56405343400775e-05,3,6
NO2,respiratory_disease,2023,0,18,2023-W35,0,0.0011541927615625381,0.0012476511040166477,-9.34583424541096e-05,3,6
NO2,respiratory_disease,2023,0,19,2023-W36,0,0.001301309696072049,0.0011939925119612465,0.00010731718411080256,3,5
NO2,respiratory_disease,2023,0,20,2023-W37,0,0.0014754336040663973,0.001301309696072049,0.00017412390799434832,3,5
NO2,respiratory_disease,2023,0,21,2023-W38,0,0.0017213392047441302,0.0014754336040663973,0.00024590560067773285,3,5
NO2,respiratory_disease,2023,0,22,2023-W39,1,0.0017668246337712253,0.0016858037133167122,8.102092045451318e-05,3,6
NO2,respiratory_disease,2023,0,23,2023-W40,0,0.0019267343451946067,0.0017213392047441302,0.00020539514045047648,3,5
NO2,respiratory_disease,2023,0,24,2023-W41,0,0.0018222600003979974,0.0017526104372002581,6.964956319773928e-05,3,5
NO2,respiratory_disease,2023,0,25,2023-W42,0,0.0016502682218892941,0.0017966744465702563,-0.00014640622468096217,3,4
NO2,respiratory_disease,2023,0,26,2023-W43,0,0.0017526104372002581,0.0017966744465702563,-4.4064009369998176e-05,3,4
NO2,respiratory_disease,2023,0,27,2023-W44,0,0.0017710888927425154,0.0017526104372002581,1.8478455542257285e-05,3,3
NO2,respiratory_disease,2023,0,28,2023-W45,1,0.0018386063264546099,0.0017526104372002581,8.599588925435175e-05,3,3
NO2,respiratory_disease,2023,0,29,2023-W46,1,0.0020468443062192795,0.0017618496649713868,0.0002849946412478927,3,2
NO2,respiratory_disease,2023,0,30,2023-W47,1,0.002319046170553302,0.0017618496649713868,0.0005571965055819151,4,2
NO2,respiratory_disease,2023,0,31,2023-W48,1,0.0024953022080332955,0.0017710888927425154,0.0007242133152907801,5,3
NO2,respiratory_disease,2023,0,32,2023-W49,1,0.003372318136461973,0.0019469895753082347,0.001425328561153738,5,2
NO2,respiratory_disease,2024,0,38,2024-W03,1,0.0018656132999394475,0.0020784708935896816,-0.0002128575936502341,5,2
NO2,respiratory_disease,2024,0,39,2024-W04,1,0.0019075451798238009,0.0020784708935896816,-0.00017092571376588076,4,2
NO2,respiratory_disease,2024,0,40,2024-W05,1,0.0020546621143333115,0.0020340515293054092,2.0610585027902324e-05,4,3
NO2,respiratory_disease,2024,0,41,2024-W06,1,0.0020468443062192795,0.0020265890761056514,2.0255230113628078e-05,3,2
NO2,respiratory_disease,2024,0,42,2024-W07,1,0.002017705203248797,0.0020340515293054092,-1.6346326056612247e-05,3,3
NO2,respiratory_disease,2024,0,43,2024-W08,0,0.0020340515293054092,0.0021022796728460517,-6.822814354064252e-05,3,3
NO2,respiratory_disease,2024,0,44,2024-W09,0,0.0020191266229058935,0.0021356830347878247,-0.0001165564118819312,3,4
NO2,respiratory_disease,2024,0,45,2024-W10,0,0.0021022796728460517,0.002067454891247182,3.482478159886953e-05,3,5
NO2,respiratory_disease,2024,0,46,2024-W11,0,0.0021690863967295977,0.0020848672820466168,8.421911468298095e-05,3,6
NO2,respiratory_disease,2024,0,47,2024-W12,0,0.002268585772726368,0.0020848672820466168,0.00018371849067975142,3,6
NO2,respiratory_disease,2024,0,48,2024-W13,0,0.002067454891247182,0.0021232456127882283,-5.57907215410461e-05,3,6
NO2,respiratory_disease,2024,0,49,2024-W14,0,0.002144211552730405,0.0020795369583325044,6.46745943979005e-05,3,6
NO2,respiratory_disease,2024,0,50,2024-W15,0,0.0019466342203939607,0.002097660058960487,-0.00015102583856652627,3,6
NO2,respiratory_disease,2024,0,51,2024-W16,0,0.002091619025417826,0.0020312086899912157,6.041033542661042e-05,3,6
NO2,respiratory_disease,2024,0,52,2024-W17,0,0.001994962488735249,0.002021614107305813,-2.6651618570563626e-05,3,6
NO2,respiratory_disease,2024,0,53,2024-W18,0,0.0021037010925031483,0.0019622698366220247,0.0001414312558811236,3,6
NO2,respiratory_disease,2024,0,54,2024-W19,0,0.0019516091891937993,0.0019839464863927493,-3.233729719895003e-05,3,6
NO2,respiratory_disease,2024,0,55,2024-W20,0,0.001927445055023155,0.0019622698366220247,-3.482478159886975e-05,3,6
NO2,respiratory_disease,2024,0,56,2024-W21,0,0.00197293048405025,0.0019366842827942836,3.62462012559663e-05,3,6
NO2,respiratory_disease,2024,0,57,2024-W22,0,0.0019459235105654122,0.0018848024653102533,6.112104525515891e-05,3,6
NO2,respiratory_disease,2024,0,58,2024-W23,0,0.0018421598755973517,0.001860638331139609,-1.8478455542257285e-05,3,6
NO2,respiratory_disease,2024,0,59,2024-W24,0,0.0016922001017736475,0.0018179957414267073,-0.00012579563965305985,3,6
NO2,respiratory_disease,2024,0,60,2024-W25,0,0.0017831709598278376,0.0017853030893134826,-2.132129485645038e-06,3,6
NO2,respiratory_disease,2024,0,61,2024-W26,0,0.001793831607256063,0.0017533211470288066,4.051046022725637e-05,3,6
NO2,respiratory_disease,2024,0,62,2024-W27,0,0.0017767745713709025,0.001711033912230179,6.574065914072345e-05,3,6
NO2,respiratory_disease,2024,0,63,2024-W28,0,0.0017298677226867106,0.0017238266891440495,6.041033542661086e-06,3,6
NO2,respiratory_disease,2024,0,64,2024-W29,0,0.0016708788069171967,0.0016950429410878408,-2.4164134170644126e-05,3,6
NO2,respiratory_disease,2024,0,65,2024-W30,0,0.0016602181594889713,0.0016474253825751006,1.2792776913870662e-05,3,6
NO2,respiratory_disease,2024,0,66,2024-W31,0,0.0016239719582330048,0.0015557438146923622,6.822814354064252e-05,3,6
NO2,respiratory_disease,2024,0,67,2024-W32,0,0.0013666950002984982,0.001593056080691151,-0.00022636108039265283,3,6
NO2,respiratory_disease,2024,0,68,2024-W33,0,0.001451269469895753,0.0014995977382370415,-4.832826834128847e-05,3,6
NO2,respiratory_disease,2024,0,69,2024-W34,0,0.0014370552733247858,0.001455178373952769,-1.8123100627983257e-05,3,6
NO2,respiratory_disease,2024,0,70,2024-W35,0,0.0015621402031492974,0.0014441623716102694,0.00011797783153902797,3,6
NO2,respiratory_disease,2024,0,71,2024-W36,0,0.0014342124340105925,0.0015106137405795413,-7.640130656894886e-05,3,6
NO2,respiratory_disease,2024,0,72,2024-W37,0,0.001459087278009785,0.0016317897663470369,-0.00017270248833725177,3,6
NO2,respiratory_disease,2024,0,73,2024-W38,0,0.0017014393295447761,0.0017792620557708215,-7.78227262260454e-05,3,6
NO2,respiratory_disease,2024,0,74,2024-W39,0,0.0020660334715900852,0.0018489116189685608,0.0002171218526215244,3,6
NO2,respiratory_disease,2024,0,75,2024-W40,0,0.0020049124263349263,0.001975417968450169,2.9494457884757155e-05,3,6
NO2,respiratory_disease,2024,0,76,2024-W41,0,0.0019963839083923457,0.0020010035222779105,-4.619613885564755e-06,3,6
NO2,respiratory_disease,2024,0,77,2024-W42,0,0.0019970946182208942,0.0020049124263349263,-7.817808114032095e-06,3,5
NO2,respiratory_disease,2024,0,78,2024-W43,0,0.0019544520285079926,0.0020010035222779105,-4.655149376991789e-05,3,4
NO2,respiratory_disease,2024,0,79,2024-W44,0,0.002024101591705732,0.00199673926330662,2.7362328399112117e-05,3,4
NO2,respiratory_disease,2024,0,80,2024-W45,1,0.0018620597507967057,0.002010598104963313,-0.0001485383541666072,3,4
NO2,respiratory_disease,2024,0,81,2024-W46,1,0.001949477059708154,0.002024101591705732,-7.462453199757807e-05,3,3
NO2,respiratory_disease,2024,0,82,2024-W47,0,0.0020880654762750845,0.0019892768101068626,9.878866616822198e-05,4,2
NO2,respiratory_disease,2024,0,83,2024-W48,1,0.002009887395134765,0.0020560835339904085,-4.619613885564365e-05,4,2
NO2,respiratory_disease,2024,0,84,2024-W49,1,0.0023346817867813657,0.002403620640150557,-6.893885336919144e-05,4,2
NO2,respiratory_disease,2024,0,85,2024-W50,1,0.002346763853866688,0.002403620640150557,-5.685678628386927e-05,3,2
NO2,respiratory_disease,2024,0,86,2024-W51,1,0.002503120016147327,0.002403620640150557,9.949937599677003e-05,4,2
NO2,respiratory_disease,2024,0,87,2024-W52,1,0.0033190148993208456,0.00272521683756869,0.0005937980617521555,4,2
NO2,respiratory_disease,2025,0,88,2025-W01,0,0.0027191758040260292,0.0026392209483143384,7.995485571169088e-05,5,2
NO2,respiratory_disease,2025,0,89,2025-W02,1,0.002504541435804424,0.00272521683756869,-0.000220675401764266,3,2
NO2,respiratory_disease,2025,0,90,2025-W03,1,0.0028741105466495716,0.0027191758040260292,0.00015493474262354232,3,3
NO2,respiratory_disease,2025,0,91,2025-W04,0,0.002731257871111351,0.0025471840255173257,0.00018407384559402523,3,3
