year_week,week_index,year,pollutant,value,threshold_pc75,distance_from_thr,exposed,weight
2023-W18,1,2023,NO2,25.08285714285714,41.091,-16.008571428571425,0,0.01
2023-W19,2,2023,NO2,22.99714285714285,41.091,-18.094285714285714,0,0.01
2023-W20,3,2023,NO2,28.55,41.091,-12.541428571428565,0,0.01
2023-W21,4,2023,NO2,23.727142857142866,41.091,-17.3642857142857,0,0.01
2023-W22,5,2023,NO2,21.99857142857143,41.091,-19.092857142857135,0,0.01
2023-W23,6,2023,NO2,20.770000000000003,41.091,-20.321428571428562,0,0.01
2023-W24,7,2023,NO2,23.807142857142857,41.091,-17.28428571428571,0,0.01
2023-W25,8,2023,NO2,28.274285714285707,41.091,-12.817142857142859,0,0.01
2023-W26,9,2023,NO2,22.8,41.091,-18.291428571428565,0,0.01
2023-W27,10,2023,NO2,25.731428571428573,41.091,-15.359999999999992,0,0.01
2023-W28,11,2023,NO2,22.89,41.091,-18.201428571428565,0,0.01
2023-W29,12,2023,NO2,20.947142857142858,41.091,-20.144285714285708,0,0.01
2023-W30,13,2023,NO2,21.072857142857146,41.091,-20.01857142857142,0,0.01
2023-W31,14,2023,NO2,19.25,41.091,-21.841428571428565,0,0.01
2023-W32,15,2023,NO2,18.70285714285714,41.091,-22.388571428571424,0,0.01
2023-W33,16,2023,NO2,18.63714285714286,41.091,-22.454285714285707,0,0.01
2023-W34,17,2023,NO2,20.41857142857143,41.091,-20.672857142857136,0,0.01
2023-W35,18,2023,NO2,25.00285714285715,41.091,-16.088571428571417,0,0.01
2023-W36,19,2023,NO2,40.14,41.091,-0.9514285714285649,0,0.01
2023-W37,20,2023,NO2,30.062857142857144,41.091,-11.028571428571421,0,0.01
2023-W38,21,2023,NO2,31.208571428571428,41.091,-9.882857142857137,0,0.01
2023-W39,22,2023,NO2,48.68857142857143,41.091,7.597142857142863,1,0.8794132087710194
2023-W40,23,2023,NO2,36.18857142857143,41.091,-4.902857142857137,0,0.01
2023-W41,24,2023,NO2,31.714285714285715,41.091,-9.37714285714285,0,0.01
2023-W42,25,2023,NO2,36.22857142857143,41.091,-4.862857142857138,0,0.01
2023-W43,26,2023,NO2,32.92142857142857,41.091,-8.169999999999995,0,0.01
2023-W44,27,2023,NO2,34.21142857142858,41.091,-6.879999999999988,0,0.01
2023-W45,28,2023,NO2,44.10857142857143,41.091,3.017142857142865,1,0.5684063516708316
2023-W46,29,2023,NO2,48.785714285714285,41.091,7.694285714285719,1,0.8840060384718327
2023-W47,30,2023,NO2,47.79714285714287,41.091,6.705714285714308,1,0.8346674388238299
2023-W48,31,2023,NO2,42.04285714285714,41.091,0.951428571428572,1,0.27327963987116777
2023-W49,32,2023,NO2,47.58142857142857,41.091,6.490000000000002,1,0.8230614342062887
2023-W50,33,2023,NO2,50.021428571428565,41.091,8.93,1,0.938327660666684
2023-W51,34,2023,NO2,51.63857142857143,41.091,10.547142857142866,1,1.0
2023-W52,35,2023,NO2,42.451428571428565,41.091,1.3599999999999994,1,0.35098441360938415
2024-W01,36,2024,NO2,41.12857142857143,41.304,-0.17535714285713766,0,0.01
2024-W02,37,2024,NO2,54.48285714285714,41.304,13.178928571428571,1,0.8155222904396969
2024-W03,38,2024,NO2,57.61857142857143,41.304,16.314642857142857,1,0.8769674988730207
2024-W04,39,2024,NO2,65.21142857142857,41.304,23.9075,1,0.9887942210523404
2024-W05,40,2024,NO2,56.32142857142857,41.304,15.017499999999998,1,0.8530191228484318
2024-W06,41,2024,NO2,41.82999999999999,41.304,0.5260714285714201,1,0.1299963075266887
2024-W07,42,2024,NO2,61.041428571428575,41.304,19.737500000000004,1,0.9324450440055915
2024-W08,43,2024,NO2,37.04857142857144,41.304,-4.255357142857129,0,0.01
2024-W09,44,2024,NO2,30.49142857142857,41.304,-10.8125,0,0.01
2024-W10,45,2024,NO2,27.918571428571425,41.304,-13.385357142857146,0,0.01
2024-W11,46,2024,NO2,26.898571428571422,41.304,-14.405357142857149,0,0.01
2024-W12,47,2024,NO2,31.884285714285717,41.304,-9.419642857142854,0,0.01
2024-W13,48,2024,NO2,30.437142857142863,41.304,-10.866785714285708,0,0.01
2024-W14,49,2024,NO2,32.33571428571429,41.304,-8.968214285714282,0,0.01
2024-W15,50,2024,NO2,32.582857142857144,41.304,-8.721071428571427,0,0.01
2024-W16,51,2024,NO2,24.262857142857143,41.304,-17.041071428571428,0,0.01
2024-W17,52,2024,NO2,28.862857142857145,41.304,-12.441071428571426,0,0.01
2024-W18,53,2024,NO2,22.08428571428572,41.304,-19.21964285714285,0,0.01
2024-W19,54,2024,NO2,26.78857142857143,41.304,-14.515357142857141,0,0.01
2024-W20,55,2024,NO2,23.41142857142857,41.304,-17.892500000000002,0,0.01
2024-W21,56,2024,NO2,24.51428571428571,41.304,-16.789642857142862,0,0.01
2024-W22,57,2024,NO2,18.13714285714286,41.304,-23.166785714285712,0,0.01
2024-W23,58,2024,NO2,16.255714285714287,41.304,-25.048214285714284,0,0.01
2024-W24,59,2024,NO2,19.472857142857144,41.304,-21.831071428571427,0,0.01
2024-W25,60,2024,NO2,22.298571428571428,41.304,-19.005357142857143,0,0.01
2024-W26,61,2024,NO2,17.44857142857143,41.304,-23.85535714285714,0,0.01
2024-W27,62,2024,NO2,20.53142857142857,41.304,-20.7725,0,0.01
2024-W28,63,2024,NO2,18.24,41.304,-23.063928571428573,0,0.01
2024-W29,64,2024,NO2,22.96142857142857,41.304,-18.3425,0,0.01
2024-W30,65,2024,NO2,21.215714285714284,41.304,-20.088214285714287,0,0.01
2024-W31,66,2024,NO2,19.53857142857143,41.304,-21.76535714285714,0,0.01
2024-W32,67,2024,NO2,19.03,41.304,-22.27392857142857,0,0.01
2024-W33,68,2024,NO2,16.381428571428568,41.304,-24.922500000000003,0,0.01
2024-W34,69,2024,NO2,21.15571428571429,41.304,-20.148214285714282,0,0.01
2024-W35,70,2024,NO2,29.037142857142857,41.304,-12.266785714285714,0,0.01
2024-W36,71,2024,NO2,24.767142857142854,41.304,-16.536785714285717,0,0.01
2024-W37,72,2024,NO2,26.83142857142857,41.304,-14.4725,0,0.01
2024-W38,73,2024,NO2,34.222857142857144,41.304,-7.081071428571427,0,0.01
2024-W39,74,2024,NO2,24.467142857142857,41.304,-16.836785714285714,0,0.01
2024-W40,75,2024,NO2,27.74714285714285,41.304,-13.55678571428572,0,0.01
2024-W41,76,2024,NO2,31.07857142857143,41.304,-10.225357142857142,0,0.01
2024-W42,77,2024,NO2,33.71714285714286,41.304,-7.5867857142857105,0,0.01
2024-W43,78,2024,NO2,33.96285714285714,41.304,-7.341071428571432,0,0.01
2024-W44,79,2024,NO2,39.63857142857143,41.304,-1.6653571428571396,0,0.01
2024-W45,80,2024,NO2,49.98571428571428,41.304,8.68178571428571,1,0.6981923830175503
2024-W46,81,2024,NO2,48.95,41.304,7.646071428571432,1,0.6633968634079419
2024-W47,82,2024,NO2,40.50571428571429,41.304,-0.7982142857142804,0,0.01
2024-W48,83,2024,NO2,54.04714285714285,41.304,12.74321428571428,1,0.8059234135089531
2024-W49,84,2024,NO2,47.58571428571429,41.304,6.281785714285718,1,0.6105832879162827
2024-W50,85,2024,NO2,47.44571428571429,41.304,6.141785714285717,1,0.6046129215816671
2024-W51,86,2024,NO2,50.117142857142845,41.304,8.813214285714274,1,0.702339108082812
2024-W52,87,2024,NO2,66.13571428571429,41.304,24.831785714285715,1,1.0
2025-W01,88,2025,NO2,31.47142857142857,41.045,-9.57357142857143,0,0.01
2025-W02,89,2025,NO2,57.50285714285714,41.045,16.457857142857137,1,1.0
2025-W03,90,2025,NO2,47.96714285714286,41.045,6.922142857142859,1,0.7237111351056169
2025-W04,91,2025,NO2,40.72285714285714,41.045,-0.3221428571428646,0,0.01
2025-W05,92,2025,NO2,47.71571428571429,41.045,6.67071428571429,1,0.7124333853927953
2025-W06,93,2025,NO2,40.121428571428574,41.045,-0.923571428571428,0,0.01
2025-W07,94,2025,NO2,37.82714285714286,41.045,-3.2178571428571416,0,0.01
2025-W09,96,2025,NO2,51.59571428571429,41.045,10.550714285714285,1,0.8555689185726225
2025-W10,97,2025,NO2,38.19428571428572,41.045,-2.8507142857142824,0,0.01
2025-W11,98,2025,NO2,32.83714285714286,41.045,-8.207857142857144,0,0.01
2025-W12,99,2025,NO2,33.66285714285714,41.045,-7.38214285714286,0,0.01
2025-W13,100,2025,NO2,31.062857142857144,41.045,-9.982142857142858,0,0.01
2025-W14,101,2025,NO2,30.22142857142857,41.045,-10.82357142857143,0,0.01
2025-W15,102,2025,NO2,23.01285714285714,41.045,-18.032142857142862,0,0.01
2025-W16,103,2025,NO2,23.85142857142857,41.045,-17.19357142857143,0,0.01
2025-W17,104,2025,NO2,28.61428571428572,41.045,-12.43071428571428,0,0.01
2025-W18,105,2025,NO2,20.557142857142857,41.045,-20.487857142857145,0,0.01
2025-W19,106,2025,NO2,23.55285714285714,41.045,-17.492142857142863,0,0.01
2025-W20,107,2025,NO2,21.79714285714286,41.045,-19.247857142857143,0,0.01
2025-W21,108,2025,NO2,19.51142857142857,41.045,-21.53357142857143,0,0.01
2025-W22,109,2025,NO2,17.47714285714286,41.045,-23.567857142857143,0,0.01
2025-W23,110,2025,NO2,18.385714285714283,41.045,-22.65928571428572,0,0.01
2025-W24,111,2025,NO2,21.40571428571429,41.045,-19.639285714285712,0,0.01
2025-W25,112,2025,NO2,17.702857142857145,41.045,-23.342142857142857,0,0.01
2025-W26,113,2025,NO2,23.648571428571437,41.045,-17.396428571428565,0,0.01
2025-W27,114,2025,NO2,19.957142857142856,41.045,-21.087857142857146,0,0.01
2025-W28,115,2025,NO2,18.665714285714284,41.045,-22.379285714285718,0,0.01
