pollutant,outcome,year,lag,n_iter,mean_r,sd_r,mean_p,Vul,Rc,Rc_CI_low,Rc_CI_high,Rc_class
NO2,ILI,2023,0,1000,0.8549,0.1137,0.7881,0.8893,0.8893,0.6744,1.0,Very high
NO2,ILI,2023,1,1000,0.958,0.0618,0.7287,0.966,0.966,0.8273,1.0,Critical
NO2,ILI,2023,2,1000,0.8882,0.1036,0.7693,0.9148,0.9148,0.7113,1.0,Critical
NO2,ILI,2024,0,1000,0.2953,0.1178,0.8137,0.2388,0.2388,0.0503,0.4379,Moderate-high
NO2,ILI,2024,1,1000,0.6091,0.128,0.875,0.6725,0.6725,0.3249,0.8784,Moderate-low
NO2,ILI,2024,2,1000,0.4746,0.1194,0.9118,0.4502,0.4502,0.1924,0.7572,Negligible
NO2,ILI,2025,0,1000,0.6277,0.1242,0.8628,0.6972,0.6972,0.3784,0.8993,Moderate-low
NO2,ILI,2025,1,1000,0.7944,0.1004,0.7309,0.8272,0.8272,0.6354,0.9731,High
NO2,ILI,2025,2,1000,0.7592,0.0975,0.761,0.7931,0.7931,0.6153,0.9264,Moderate-high
NO2,ILI,2026,0,1000,0.3669,0.2476,0.8929,0.2827,0.2827,0.0,0.9486,Moderate
NO2,ILI,2026,1,1000,0.1274,0.1373,0.8279,0.0862,0.0862,0.0,0.3157,Critical
NO2,ILI,2026,2,1000,0.0487,0.0838,0.7952,0.0339,0.0339,0.0,0.2155,Critical
NO2,pneumonia,2023,0,1000,0.8912,0.098,0.7672,0.9151,0.9151,0.7112,1.0,Critical
NO2,pneumonia,2023,1,1000,0.9753,0.0434,0.7186,0.9791,0.9791,0.8731,1.0,Critical
NO2,pneumonia,2023,2,1000,0.9097,0.1006,0.7561,0.9319,0.9319,0.7426,1.0,Critical
NO2,pneumonia,2024,0,1000,0.2533,0.1034,0.7807,0.2129,0.2129,0.0579,0.3883,Moderate-high
NO2,pneumonia,2024,1,1000,0.4947,0.1241,0.9115,0.4927,0.4927,0.1927,0.7986,Negligible
NO2,pneumonia,2024,2,1000,0.5086,0.1312,0.9061,0.5227,0.5227,0.2008,0.8384,Negligible
NO2,pneumonia,2025,0,1000,0.6462,0.1184,0.8507,0.7069,0.7069,0.389,0.8952,Moderate
NO2,pneumonia,2025,1,1000,0.7125,0.1009,0.8024,0.7567,0.7567,0.5854,0.9074,Moderate-high
NO2,pneumonia,2025,2,1000,0.5846,0.1131,0.8921,0.6403,0.6403,0.3339,0.8188,Low
NO2,pneumonia,2026,0,1000,0.6187,0.2854,0.8885,0.7387,0.7387,0.083,1.0,Moderate
NO2,pneumonia,2026,1,1000,0.3014,0.2288,0.8826,0.2013,0.2013,0.0,0.837,Moderate-high
NO2,pneumonia,2026,2,1000,0.1555,0.1459,0.8398,0.1024,0.1024,0.0,0.36,Very high
NO2,respiratory_disease,2023,0,1000,0.889,0.1023,0.7683,0.9144,0.9144,0.7187,1.0,Critical
NO2,respiratory_disease,2023,1,1000,0.9626,0.0525,0.726,0.9684,0.9684,0.8467,1.0,Critical
NO2,respiratory_disease,2023,2,1000,0.9398,0.0739,0.739,0.9517,0.9517,0.7839,1.0,Critical
NO2,respiratory_disease,2024,0,1000,0.3776,0.1243,0.8695,0.3135,0.3135,0.1062,0.6369,Moderate-low
